player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
203999,Nikola Jokic,2023,4.876,-0.3,5.176,2.428,0.298,2.13,2.066,0.131,1.935,0.682,0.003,0.679,0.786,0.501,0.301,-0.7,0.618,0.618,4.962,5.58,-0.0,-0.7,-0.986,0.286,-0.7,-0.986,0.286,9.362,2.855,0.639,0.171,0.468,-0.404,0.156,-0.56,0.561,0.119,0.442,0.311,-0.001,0.312,0.627,0.57,0.067,-0.086,1.059,1.059,1.18,2.239,0.0,-0.086,0.226,-0.312,-0.086,0.226,-0.312,-0.805,0.179,5.515,-0.129,5.644,2.024,0.454,1.57,2.627,0.25,2.377,0.993,0.002,0.991,1.413,1.071,0.368,-0.787,1.676,1.676,7.819,0.001,-0.787,-0.76,-0.027,-0.787,-0.76,-0.027,8.557,3.034,5.58,2.239,7.82,23388,11732,11656
201950,Jrue Holiday,2023,4.403,-0.045,4.448,0.706,0.127,0.579,1.658,0.181,1.477,2.084,0.001,2.083,-0.31,-0.248,-0.073,0.882,0.324,0.324,4.975,5.299,0.0,0.882,0.296,0.586,0.882,0.296,0.586,1.532,0.517,0.114,0.039,0.075,0.419,0.194,0.225,0.251,-0.005,0.256,-0.595,-0.007,-0.588,0.72,0.614,0.132,0.37,0.568,0.568,1.204,1.772,0.0,0.37,0.251,0.119,0.37,0.251,0.119,-1.318,0.462,4.516,-0.006,4.522,1.125,0.321,0.804,1.909,0.176,1.733,1.488,-0.006,1.494,0.41,0.366,0.059,1.251,0.892,0.892,7.071,0.0,1.251,0.547,0.704,1.251,0.547,0.704,0.214,0.979,5.299,1.772,7.071,21051,10546,10505
1628369,Jayson Tatum,2023,3.28,0.108,3.172,0.332,0.059,0.273,1.112,0.502,0.61,1.728,0.003,1.725,0.898,0.391,0.559,0.583,0.357,0.357,4.761,5.118,0.0,0.583,0.196,0.387,0.583,0.196,0.387,1.525,-0.06,1.497,-0.036,1.533,0.249,0.091,0.158,-0.16,0.07,-0.23,1.444,-0.001,1.445,0.417,0.419,-0.019,-0.261,-0.038,-0.038,1.653,1.615,0.0,-0.261,0.145,-0.406,-0.261,0.145,-0.406,2.217,0.393,4.778,0.072,4.706,0.581,0.151,0.43,0.953,0.572,0.381,3.172,0.002,3.17,1.315,0.811,0.541,0.323,0.319,0.319,6.733,-0.0,0.323,0.341,-0.018,0.323,0.341,-0.018,3.742,0.333,5.118,1.615,6.733,28894,14464,14430
203954,Joel Embiid,2023,4.062,-0.208,4.27,2.077,-0.172,2.249,0.057,-0.062,0.119,2.136,-0.003,2.139,2.031,1.76,0.301,-0.085,-2.225,-2.225,6.008,3.783,0.0,-0.085,0.254,-0.339,-0.085,0.254,-0.339,2.392,0.395,2.632,0.075,2.557,0.942,0.239,0.703,1.073,0.314,0.759,0.542,0.003,0.539,0.459,0.403,0.082,-0.481,-0.128,-0.128,2.61,2.482,0.0,-0.481,-0.169,-0.312,-0.481,-0.169,-0.312,1.824,0.792,6.694,-0.133,6.827,3.02,0.068,2.952,1.129,0.252,0.877,2.678,-0.0,2.678,2.49,2.162,0.383,-0.566,-2.353,-2.353,6.265,-0.0,-0.566,0.085,-0.651,-0.566,0.085,-0.651,4.215,1.187,3.783,2.482,6.265,20846,10459,10387
1629636,Darius Garland,2023,3.444,-0.019,3.463,1.051,0.134,0.917,1.251,-0.081,1.332,1.161,0.003,1.158,0.199,-0.128,0.334,0.325,-0.335,-0.335,3.968,3.633,0.0,0.325,0.437,-0.112,0.325,0.437,-0.112,1.919,1.015,1.04,0.01,1.03,-0.141,-0.023,-0.118,0.436,0.185,0.251,0.735,0.0,0.735,0.395,0.472,-0.077,0.721,0.003,0.003,2.156,2.159,-0.0,0.721,0.313,0.408,0.721,0.313,0.408,0.324,-0.014,4.485,-0.009,4.494,0.91,0.111,0.799,1.687,0.104,1.583,1.897,0.004,1.893,0.594,0.344,0.257,1.045,-0.332,-0.332,5.792,0.0,1.045,0.75,0.295,1.045,0.75,0.295,2.243,1.002,3.633,2.159,5.792,19808,9953,9855
201142,Kevin Durant,2023,3.867,-0.085,3.952,0.815,-0.248,1.063,1.912,-0.623,2.535,1.225,0.001,1.224,1.416,0.837,0.623,-0.499,-0.462,-0.462,4.784,4.322,0.0,-0.499,-0.422,-0.077,-0.499,-0.422,-0.077,2.073,0.382,1.535,0.158,1.377,0.691,-0.007,0.698,0.145,-0.035,0.18,0.541,-0.005,0.546,-0.039,0.05,-0.068,-0.168,0.064,0.064,1.328,1.392,-0.0,-0.168,-0.269,0.101,-0.168,-0.269,0.101,2.859,0.883,5.401,0.073,5.328,1.506,-0.255,1.761,2.057,-0.658,2.715,1.765,-0.004,1.769,1.377,0.887,0.555,-0.666,-0.398,-0.398,5.714,0.0,-0.666,-0.691,0.025,-0.666,-0.691,0.025,4.933,1.265,4.322,1.392,5.714,17730,8873,8857
201939,Stephen Curry,2023,4.973,-0.118,5.091,2.477,0.413,2.064,0.72,0.748,-0.028,1.894,0.007,1.887,0.256,-0.098,0.323,-0.28,-0.812,-0.812,4.949,4.137,0.0,-0.28,-0.69,0.41,-0.28,-0.69,0.41,2.807,2.158,0.62,0.08,0.54,-0.454,0.029,-0.483,0.275,0.013,0.262,0.719,-0.002,0.721,-0.005,-0.103,0.076,0.954,-0.156,-0.156,1.569,1.413,0.0,0.954,0.316,0.638,0.954,0.316,0.638,1.895,0.165,5.592,-0.038,5.63,2.023,0.442,1.581,0.994,0.761,0.233,2.613,0.005,2.608,0.251,-0.202,0.4,0.674,-0.968,-0.968,5.55,0.001,0.674,-0.374,1.048,0.674,-0.374,1.048,4.702,2.323,4.137,1.413,5.551,22905,11479,11426
203932,Aaron Gordon,2023,2.901,-0.114,3.015,0.812,0.04,0.772,1.501,0.036,1.465,0.702,-0.003,0.705,0.011,0.423,-0.374,0.399,0.72,0.72,3.311,4.031,0.0,0.399,0.301,0.098,0.399,0.301,0.098,2.606,0.617,0.632,0.124,0.508,0.159,-0.013,0.172,0.031,0.101,-0.07,0.318,-0.002,0.32,0.246,0.384,-0.118,-0.297,0.742,0.742,0.581,1.323,0.0,-0.297,0.14,-0.437,-0.297,0.14,-0.437,-0.88,-0.061,3.532,0.01,3.522,0.971,0.027,0.944,1.532,0.137,1.395,1.019,-0.005,1.024,0.257,0.806,-0.492,0.102,1.462,1.462,5.354,0.0,0.102,0.44,-0.338,0.102,0.44,-0.338,1.727,0.556,4.031,1.323,5.354,21395,10715,10680
203507,Giannis Antetokounmpo,2023,2.878,0.178,2.7,2.234,0.464,1.77,0.443,0.709,-0.266,0.023,0.003,0.02,0.461,1.765,-1.291,-0.098,-0.222,-0.222,3.241,3.019,0.0,-0.098,0.253,-0.351,-0.098,0.253,-0.351,1.732,1.201,2.021,-0.099,2.12,1.083,0.239,0.844,0.113,0.177,-0.064,0.924,-0.004,0.928,-0.023,0.049,-0.063,-0.846,0.861,0.861,1.152,2.013,0.0,-0.846,-0.201,-0.645,-0.846,-0.201,-0.645,0.718,0.775,4.896,0.079,4.817,3.316,0.702,2.614,0.555,0.886,-0.331,0.946,-0.001,0.947,0.438,1.814,-1.355,-0.944,0.639,0.639,5.032,0.0,-0.944,0.052,-0.996,-0.944,0.052,-0.996,2.45,1.977,3.019,2.013,5.032,20051,10040,10011
202695,Kawhi Leonard,2023,0.877,-0.157,1.034,-0.443,-0.35,-0.093,0.479,-0.294,0.773,0.998,-0.003,1.001,0.703,0.355,0.357,1.383,0.888,0.888,2.963,3.851,0.0,1.383,1.1,0.283,1.383,1.1,0.283,0.952,-0.724,0.027,-0.148,0.175,-0.219,0.031,-0.25,0.482,0.109,0.373,-0.088,0.002,-0.09,-0.151,-0.241,0.09,-0.045,1.124,1.124,-0.169,0.955,-0.0,-0.045,0.191,-0.236,-0.045,0.191,-0.236,1.087,0.237,0.904,-0.305,1.209,-0.662,-0.319,-0.343,0.961,-0.185,1.146,0.91,-0.001,0.911,0.553,0.114,0.447,1.338,2.012,2.012,4.806,0.0,1.338,1.291,0.047,1.338,1.291,0.047,2.038,-0.487,3.851,0.955,4.806,7559,3779,3780
