player_id,player_name,Latest_Year,oDECOMP_EFG,oDECOMP_EFG_PARENT,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_EFG_DISPLAY_GAP,oDECOMP_RIM,oDECOMP_RIM_FREQ,oDECOMP_RIM_FG,oDECOMP_MID_FG,oDECOMP_THREE,oDECOMP_THREE_FREQ,oDECOMP_THREE_FG,oDECOMP_FT,oDECOMP_FT_FREQ,oDECOMP_FT_SEVERITY,oDECOMP_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oDECOMP_TOV_LOSS_VALUE,oDECOMP_TOV_VALUE_bp,oDECOMP_TOV_VALUE_sc,oDECOMP_TOV_VALUE_split,oDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dDECOMP_EFG,dDECOMP_EFG_PARENT,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_EFG_DISPLAY_GAP,dDECOMP_RIM,dDECOMP_RIM_FREQ,dDECOMP_RIM_FG,dDECOMP_MID_FG,dDECOMP_THREE,dDECOMP_THREE_FREQ,dDECOMP_THREE_FG,dDECOMP_FT,dDECOMP_FT_FREQ,dDECOMP_FT_SEVERITY,dDECOMP_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dDECOMP_TOV_LOSS_VALUE,dDECOMP_TOV_VALUE_bp,dDECOMP_TOV_VALUE_sc,dDECOMP_TOV_VALUE_split,dDECOMP_BADPASS_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nDECOMP_EFG,nDECOMP_EFG_PARENT,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_EFG_DISPLAY_GAP,nDECOMP_RIM,nDECOMP_RIM_FREQ,nDECOMP_RIM_FG,nDECOMP_MID_FG,nDECOMP_THREE,nDECOMP_THREE_FREQ,nDECOMP_THREE_FG,nDECOMP_FT,nDECOMP_FT_FREQ,nDECOMP_FT_SEVERITY,nDECOMP_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nDECOMP_TOV_LOSS_VALUE,nDECOMP_TOV_VALUE_bp,nDECOMP_TOV_VALUE_sc,nDECOMP_TOV_VALUE_split,nDECOMP_BADPASS_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
708,Kevin Garnett,2008,2.62,2.588,2.566,0.022,0.054,0.854,-0.079,0.933,2.316,-0.604,-0.798,0.194,0.837,0.456,0.384,0.563,-0.382,-0.382,4.02,3.638,0.0,0.563,-0.123,0.686,0.563,-0.123,0.686,4.725,0.844,2.655,2.664,2.667,-0.003,-0.012,1.767,0.421,1.346,0.877,0.023,-0.003,0.026,0.406,0.538,-0.133,-0.052,0.9,0.9,3.009,3.909,0.0,-0.052,0.151,-0.203,-0.052,0.151,-0.203,2.967,1.076,5.275,5.251,5.233,0.018,0.042,2.621,0.342,2.279,3.193,-0.581,-0.801,0.22,1.243,0.994,0.251,0.511,0.518,0.518,7.547,0.0,0.511,0.028,0.483,0.511,0.028,0.483,7.692,1.92,3.638,3.909,7.547,60715,30452,30263
1938,Manu Ginobili,2008,2.345,2.331,2.305,0.026,0.04,1.209,0.857,0.352,0.271,0.825,0.813,0.012,1.57,1.113,0.459,0.31,0.607,0.607,4.225,4.832,0.0,0.31,0.008,0.302,0.31,0.008,0.302,1.595,0.609,0.812,0.807,0.817,-0.01,-0.005,0.302,-0.117,0.419,0.12,0.395,-0.023,0.418,0.036,-0.053,0.087,1.233,0.477,0.477,2.081,2.558,-0.0,1.233,0.554,0.679,1.233,0.554,0.679,2.87,0.436,3.157,3.137,3.122,0.015,0.035,1.511,0.74,0.771,0.391,1.22,0.79,0.43,1.606,1.06,0.546,1.543,1.084,1.084,7.39,-0.001,1.543,0.562,0.981,1.543,0.562,0.981,4.465,1.045,4.832,2.558,7.389,49763,24980,24783
1495,Tim Duncan,2008,1.649,1.648,1.645,0.003,0.004,0.98,0.115,0.865,1.318,-0.653,-0.583,-0.07,-0.111,0.567,-0.683,0.111,1.39,1.39,1.649,3.039,0.0,0.111,-0.114,0.225,0.111,-0.114,0.225,2.8,1.204,2.651,2.655,2.655,-0.0,-0.004,1.935,0.388,1.547,0.559,0.161,0.296,-0.135,0.806,0.848,-0.044,-0.409,1.003,1.003,3.048,4.051,0.0,-0.409,-0.31,-0.099,-0.409,-0.31,-0.099,0.875,0.636,4.3,4.303,4.3,0.003,0.0,2.915,0.503,2.412,1.877,-0.492,-0.287,-0.205,0.695,1.415,-0.727,-0.298,2.393,2.393,7.09,0.0,-0.298,-0.424,0.126,-0.298,-0.424,0.126,3.675,1.84,3.039,4.051,7.09,58657,29485,29172
977,Kobe Bryant,2008,4.119,4.107,4.127,-0.02,-0.008,1.656,0.31,1.346,1.054,1.417,0.427,0.99,1.532,0.781,0.748,1.598,0.156,0.156,7.249,7.405,0.0,1.598,0.571,1.027,1.598,0.571,1.027,2.376,1.032,-0.003,0.009,0.002,0.007,-0.005,-0.359,-0.396,0.037,-0.013,0.374,0.021,0.353,-0.222,-0.059,-0.161,-0.136,-0.135,-0.135,-0.361,-0.496,0.0,-0.136,-0.053,-0.083,-0.136,-0.053,-0.083,0.445,-0.389,4.116,4.116,4.129,-0.013,-0.013,1.297,-0.086,1.383,1.041,1.791,0.448,1.343,1.31,0.722,0.587,1.462,0.021,0.021,6.909,0.001,1.462,0.518,0.944,1.462,0.518,0.944,2.821,0.643,7.405,-0.496,6.91,65629,32862,32767
1884,Baron Davis,2008,3.061,3.051,3.06,-0.009,0.001,1.571,0.745,0.826,0.059,1.43,1.477,-0.047,0.144,0.316,-0.174,2.116,0.244,0.244,5.321,5.565,0.0,2.116,0.581,1.535,2.116,0.581,1.535,2.138,0.904,0.833,0.855,0.846,0.009,-0.013,0.609,0.119,0.49,0.249,-0.012,-0.156,0.144,-0.186,-0.115,-0.069,0.847,-0.415,-0.415,1.494,1.079,0.0,0.847,0.063,0.784,0.847,0.063,0.784,0.775,0.239,3.894,3.906,3.906,0.0,-0.012,2.18,0.864,1.316,0.308,1.418,1.321,0.097,-0.042,0.201,-0.243,2.963,-0.171,-0.171,6.644,0.0,2.963,0.644,2.319,2.963,0.644,2.319,2.913,1.143,5.565,1.079,6.644,48541,24277,24264
959,Steve Nash,2008,7.384,7.396,7.4,-0.004,-0.016,2.014,0.273,1.741,2.351,3.035,0.781,2.254,0.148,-0.498,0.646,1.148,-0.926,-0.926,8.68,7.754,0.0,1.148,-0.265,1.413,1.148,-0.265,1.413,9.633,2.441,-1.555,-1.519,-1.527,0.008,-0.028,-0.74,-0.08,-0.66,-0.18,-0.607,0.081,-0.688,0.632,0.737,-0.107,0.047,-0.598,-0.598,-0.876,-1.474,-0.0,0.047,0.372,-0.325,0.047,0.372,-0.325,-0.757,-0.66,5.829,5.877,5.873,0.004,-0.044,1.274,0.193,1.081,2.171,2.428,0.862,1.566,0.78,0.239,0.539,1.195,-1.524,-1.524,6.28,0.0,1.195,0.107,1.088,1.195,0.107,1.088,8.876,1.781,7.754,-1.474,6.28,61731,30916,30815
1718,Paul Pierce,2008,3.484,3.489,3.507,-0.018,-0.023,1.128,0.718,0.41,1.554,0.825,0.446,0.379,1.654,1.186,0.468,0.165,-0.783,-0.783,5.303,4.52,0.0,0.165,0.049,0.116,0.165,0.049,0.116,1.503,0.84,0.64,0.656,0.643,0.013,-0.003,0.478,0.167,0.311,0.04,0.125,-0.122,0.247,-0.529,-0.388,-0.141,0.792,0.533,0.533,0.903,1.436,0.0,0.792,0.257,0.535,0.792,0.257,0.535,0.912,0.445,4.124,4.145,4.15,-0.005,-0.026,1.606,0.885,0.721,1.594,0.95,0.324,0.626,1.125,0.798,0.327,0.957,-0.25,-0.25,5.956,0.0,0.957,0.306,0.651,0.957,0.306,0.651,2.415,1.285,4.52,1.436,5.956,58303,29165,29138
1897,Metta World Peace,2008,1.656,1.616,1.616,0.0,0.04,0.503,0.286,0.217,-0.245,1.358,0.433,0.925,-0.037,0.076,-0.115,0.859,-0.103,-0.103,2.478,2.375,0.0,0.859,0.686,0.173,0.859,0.686,0.173,0.557,0.364,0.985,1.0,0.995,0.005,-0.01,0.566,0.463,0.103,0.547,-0.118,-0.069,-0.049,0.367,0.191,0.176,1.047,0.942,0.942,2.399,3.341,0.0,1.047,0.4,0.647,1.047,0.4,0.647,1.627,0.502,2.641,2.616,2.611,0.005,0.03,1.069,0.749,0.32,0.302,1.24,0.364,0.876,0.33,0.267,0.061,1.906,0.839,0.839,5.716,0.0,1.906,1.086,0.82,1.906,1.086,0.82,2.184,0.866,2.375,3.341,5.716,40933,20492,20441
1717,Dirk Nowitzki,2008,2.335,2.302,2.317,-0.015,0.018,0.402,-0.016,0.418,1.522,0.393,-0.257,0.65,1.719,0.607,1.112,1.374,-0.198,-0.198,5.428,5.23,0.0,1.374,0.189,1.185,1.374,0.189,1.185,1.142,0.005,-0.276,-0.285,-0.272,-0.013,-0.004,-0.01,0.107,-0.117,0.024,-0.286,-0.011,-0.275,0.263,0.342,-0.079,-0.463,0.945,0.945,-0.476,0.469,0.0,-0.463,-0.014,-0.449,-0.463,-0.014,-0.449,-0.802,-0.173,2.059,2.017,2.045,-0.028,0.014,0.392,0.091,0.301,1.546,0.107,-0.268,0.375,1.982,0.949,1.033,0.911,0.747,0.747,5.699,-0.0,0.911,0.175,0.736,0.911,0.175,0.736,0.34,-0.168,5.23,0.469,5.699,63363,31711,31652
2544,LeBron James,2008,1.495,1.48,1.503,-0.023,-0.008,1.935,0.42,1.515,-0.63,0.198,0.469,-0.271,0.595,0.961,-0.367,1.424,1.247,1.247,3.514,4.761,0.0,1.424,0.34,1.084,1.424,0.34,1.084,-0.36,0.706,0.9,0.911,0.908,0.003,-0.008,0.257,-0.141,0.398,-0.156,0.807,0.014,0.793,-0.43,-0.418,-0.012,0.242,0.224,0.224,0.712,0.936,0.0,0.242,0.152,0.09,0.242,0.152,0.09,1.97,0.109,2.395,2.391,2.411,-0.02,-0.016,2.192,0.279,1.913,-0.786,1.005,0.483,0.522,0.165,0.543,-0.379,1.666,1.471,1.471,5.697,-0.001,1.666,0.492,1.174,1.666,0.492,1.174,1.61,0.815,4.761,0.936,5.696,67442,33774,33668
